colour	x	y	showSelectedlegendcolour	fill
#00BA38	110	2.62	6	#00BA38
#00BA38	110	2.875	6	#00BA38
#F8766D	93	2.32	4	#F8766D
#00BA38	110	3.215	6	#00BA38
#619CFF	175	3.44	8	#619CFF
#00BA38	105	3.46	6	#00BA38
#619CFF	245	3.57	8	#619CFF
#F8766D	62	3.19	4	#F8766D
#F8766D	95	3.15	4	#F8766D
#00BA38	123	3.44	6	#00BA38
#00BA38	123	3.44	6	#00BA38
#619CFF	180	4.07	8	#619CFF
#619CFF	180	3.73	8	#619CFF
#619CFF	180	3.78	8	#619CFF
#619CFF	205	5.25	8	#619CFF
#619CFF	215	5.424	8	#619CFF
#619CFF	230	5.345	8	#619CFF
#F8766D	66	2.2	4	#F8766D
#F8766D	52	1.615	4	#F8766D
#F8766D	65	1.835	4	#F8766D
#F8766D	97	2.465	4	#F8766D
#619CFF	150	3.52	8	#619CFF
#619CFF	150	3.435	8	#619CFF
#619CFF	245	3.84	8	#619CFF
#619CFF	175	3.845	8	#619CFF
#F8766D	66	1.935	4	#F8766D
#F8766D	91	2.14	4	#F8766D
#F8766D	113	1.513	4	#F8766D
#619CFF	264	3.17	8	#619CFF
#00BA38	175	2.77	6	#00BA38
#619CFF	335	3.57	8	#619CFF
#F8766D	109	2.78	4	#F8766D
